id;identifier;alternative_account_number;name;type;holders;signature_authorities;state;balance
1;demand-driven connect disintermediate;metrics;experiences;REVENUE;alarm;firewall connecting Granite;LOCKED;97612
2;motivating Ridges;Public-key COM;Peso Uruguayo Uruguay Peso en Unidades Indexadas Savings Account;EXPENSE;Integrated;JSON Up-sized;OPEN;15228
3;interactive;Metal TCP Facilitator;European Monetary Unit (E.M.U.-6) e-enable;EQUITY;Implemented heuristic;Managed Unbranded Rubber Pants markets;LOCKED;95939
4;mobile Human transmitter;leading edge Qatar;Bedfordshire orange Human;LIABILITY;salmon Research;Ports;CLOSED;77899
5;Soap;content invoice;collaboration;REVENUE;Personal Loan Account Cameroon Sleek Concrete Keyboard;invoice SDR Handcrafted;OPEN;80844
6;Unbranded Steel Fish program Massachusetts;Uzbekistan Sum Exclusive out-of-the-box;disintermediate;REVENUE;Garden Future China;wireless;LOCKED;29967
7;ROI Markets;fuchsia;encryption Road;EQUITY;mission-critical Trafficway;SSL;CLOSED;53376
8;Manat program;Canadian Dollar;Beauty Berkshire Avon;LIABILITY;bluetooth Customer Gloves;Central Buckinghamshire;CLOSED;4918
9;transitional International;interfaces;Rustic program digital;EXPENSE;Home Loan Account;Beauty Ergonomic Plastic Pants;OPEN;79587
10;channels;orchestration;global tangible withdrawal;ASSET;USB Supervisor impactful;Garden;LOCKED;98383
